Estados,Año,Casos,PobTot2020,Tasa_por_100k,iso_code
Nuevo León,2012,996724,5784442,17231.117539081555,MX-NLE
Oaxaca,2012,122916,4132148,2974.62723987621,MX-OAX
Puebla,2012,292179,6583278,4438.199328662712,MX-PUE
Querétaro,2012,122682,2368467,5179.806178426806,MX-QUE
Quintana Roo,2012,69116,1857985,3719.943917738841,MX-ROO
San Luis Potosí,2012,190356,2822255,6744.819302295505,MX-SLP
Sinaloa,2012,451371,3026943,14911.77732781886,MX-SIN
Sonora,2012,363370,2944840,12339.210279675635,MX-SON
Tabasco,2012,58873,2402598,2450.3891204437864,MX-TAB
Tamaulipas,2012,315124,3527735,8932.757137370012,MX-TAM
Tlaxcala,2012,61347,1342977,4567.985899981906,MX-TLA
Veracruz,2012,533558,8062579,6617.708800124625,MX-VER
Yucatán,2012,202579,2320898,8728.474926515513,MX-YUC
Zacatecas,2012,56666,1622138,3493.2909530508505,MX-ZAC
Aguascalientes,2013,194036,1425607,13610.76369574504,MX-AGU
Baja California,2013,418876,3769020,11113.658192315244,MX-BCN
Baja California Sur,2013,102908,798447,12888.519839137727,MX-BCS
Campeche,2013,58167,928363,6265.544835371509,MX-CAM
Coahuila,2013,435345,3146771,13834.657812722948,MX-COA
Colima,2013,66771,731391,9129.316603567722,MX-COL
Chiapas,2013,126406,5543828,2280.1212447428024,MX-CHP
Chihuahua,2013,471558,3741869,12602.204940899856,MX-CHH
CDMX,2013,1810921,9209944,19662.671130247913,
Durango,2013,291250,1832650,15892.287125201212,MX-DUR
Guanajuato,2013,327014,6166934,5302.699850525399,MX-GUA
Guerrero,2013,131882,3540685,3724.7594745084634,MX-GRO
Hidalgo,2013,135337,3082841,4390.009085775102,MX-HID
Jalisco,2013,1020871,8348151,12228.707889926764,MX-JAL
Estado de méxico,2013,1714152,16992418,10087.746193625886,
Michoacán,2013,211789,4748846,4459.799285973898,MX-MIC
Morelos,2013,176208,1971520,8937.672455770167,MX-MOR
Nayarit,2013,103376,1235456,8367.436800663076,MX-NAY
Nuevo León,2013,1211010,5784442,20935.640810297693,MX-NLE
Oaxaca,2013,112501,4132148,2722.579152537615,MX-OAX
Puebla,2013,266187,6583278,4043.3808203147432,MX-PUE
Querétaro,2013,156711,2368467,6616.558305435541,MX-QUE
Quintana Roo,2013,75991,1857985,4089.9684335449424,MX-ROO
San Luis Potosí,2013,190933,2822255,6765.263946737627,MX-SLP
Sinaloa,2013,464545,3026943,15347.001909186925,MX-SIN
Sonora,2013,352556,2944840,11971.991687154481,MX-SON
Tabasco,2013,67947,2402598,2828.0636211301266,MX-TAB
Tamaulipas,2013,380147,3527735,10775.951141454785,MX-TAM
